3,694.05  
4,884.68  
46,322.33 
189,751.02
1,260.61  
13,197.88 
108,095.06
77,526.98 
13,254.79 
1,333.28  
72,879.66 
33,633.71 
37,388.45 
153,970.58
7,513.28  
15,258.53 
47,235.65 
96,688.68 
34,977.71 
674.16    
3,224.77  
40,015.93 
63,017.49 
44,505.35 
93,076.94 
763.25    
61,631.91 
4,558.06  
3,014.37  
37,786.60 
60,136.93 
294.00    
84,100.59  
93,343.25 
4,533.71  
2,330.91  
79,161.28 
89,085.14 
33,982.42 
114,872.13
156,050.89
540.36    
54,686.48 
11,625.46 
2,909.72  
31,213.61 
27,245.03 
2,726.52  
13,288.33 
6,124.60  
100,783.44
22,159.40 
69,177.45 
76,896.30 
32,983.76 
19,249.29 
91,625.69 
11,139.05 
3,099.80  
105,416.57
45,014.34 
3,246.52  
47,566.87 
1,451.13  
20,191.05 
1,903.20  
2,222.29  
28,498.26 
1,739.52  
68,106.76 
29,525.11 
1,586.70  
84,022.98 
23,179.75 
22,718.26 
12,337.66 
45,525.87 
39,500.36 
60,401.73 
94,071.47 
72,059.14 
17,789.03 
7,351.04  
75,052.13 
33,349.32 
3,695.74  
60,806.96 
91,908.54 
24,575.06 
853.60    
74,380.24 
82,932.11 
5,978.51  
1,043.20  
83,311.55 
105,142.20
1,624.61  
15,381.61 
116,364.79
2,664.28  
33,965.87 
142,437.73
699.28    
66,450.30 
5,380.19  
3,072.81  
21,865.53 
64,482.20 
73,102.23 
49,306.43 
162,290.96
16,696.52 
3,794.04  
5,458.98  
45,962.96 
23,433.56 
110,367.01
561.04    
1,412.93  
223.75    
822.65    
70,109.05 
75,086.63 
25,180.45 
1,961.80  
56,640.95 
4,595.19                                     
60,645.76 
99,428.68 
1,942.87  
62,660.73 
63,292.27 
14,308.95 
76,274.28 
95,263.41 
77,200.87 
56,629.13 
42,390.26 
5,325.04  
11,074.59 
30,422.83 
20,589.74 
151,220.23
10,986.55 
14,876.06 
3,622.29  
105,059.02
185,299.77
771.74    
11,915.25 
71,903.81 
124,699.15
941.53     
40,762.37 
81,767.87 
3,894.09  
970.80    
95,133.68 
14,365.15 
826.96    
42,837.25 
108,269.96
82,343.58 
1,420.63  
657.05    
1,587.96  
8,538.67  
8,109.39  
1,863.36  
27,655.49 
49,394.83 
67,343.14 
1,993.21  
53,682.53 
68,146.57 
86,258.17 
105,291.23
25,021.09 
109,469.26
3,810.93  
12.72     
10,652.03 
1,528.59  
25,136.90 
231.58    
10,349.32 
7,213.01  
